hour,day_of_week,month,temperature,humidity,wind_speed,cloud_cover,precipitation,weather_description_Berawan,weather_description_Cerah,weather_description_Cerah Berawan,weather_description_Hujan Ringan,weather_description_Hujan Sedang
-0.3850133687518487,0.07210621858826588,0.0,1.2509700992327561,-1.2917485108667681,0.03012744472229812,-1.3207492985716813,-0.36905065316699553,0.0,1.0,0.0,0.0,0.0
-0.23834160922733494,0.07210621858826588,0.0,1.601709379391473,-1.5189246046195948,1.0489828480581966,-2.596322061779744,-0.36905065316699553,0.0,1.0,0.0,0.0,0.0
-0.09166984970282113,0.07210621858826588,0.0,1.601709379391473,-1.5946499692038705,1.0489828480581966,-2.490024331512405,-0.36905065316699553,0.0,1.0,0.0,0.0,0.0
0.055001909821692674,0.07210621858826588,0.0,1.601709379391473,-1.5946499692038705,1.0489828480581966,-1.072721261281225,0.009462837260692202,0.0,1.0,0.0,0.0,0.0
0.20167366934620648,0.07210621858826588,0.0,1.2509700992327561,-1.140297781698217,0.32592417472304275,-0.7183954937234298,0.009462837260692202,0.0,0.0,1.0,0.0,0.0
0.3483454288707203,0.07210621858826588,0.0,0.9002308190740395,-1.0645724171139412,0.32592417472304275,0.4154469624615146,0.009462837260692202,1.0,0.0,0.0,0.0,0.0
0.49501718839523406,0.07210621858826588,0.0,0.5494915389153228,-0.761670958776839,0.32592417472304275,-0.6829629169676502,0.08516553534622974,0.0,0.0,1.0,0.0,0.0
0.6416889479197478,0.07210621858826588,0.0,0.19875225875660607,0.07130805165019256,-0.9229953519467685,0.34458180894995555,0.08516553534622974,1.0,0.0,0.0,0.0,0.0
0.7883607074442617,0.07210621858826588,0.0,-0.15198702140211065,0.4499348745715705,-0.9229953519467685,0.025688618147939945,0.08516553534622974,0.0,0.0,1.0,0.0,0.0
0.9350324669687755,0.07210621858826588,0.0,-0.5027263015608274,0.5256602391558461,-0.9229953519467685,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
1.0817042264932892,0.07210621858826588,0.0,-0.5027263015608274,0.6013856037401217,-0.6271986219460238,0.5571772694846326,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
1.2283759860178032,0.07210621858826588,0.0,-0.8534655817195441,0.8285616974929485,-0.6271986219460238,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
1.375047745542317,0.07210621858826588,0.0,-0.8534655817195441,0.9800124266614997,-0.6271986219460238,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
1.5217195050668306,0.07210621858826588,0.0,-0.8534655817195441,0.9800124266614997,-0.6271986219460238,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-1.8517309639969868,0.5528143425100387,0.0,-0.8534655817195441,0.9800124266614997,-0.6271986219460238,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-1.7050592044724728,0.5528143425100387,0.0,-0.8534655817195441,0.9800124266614997,-0.6271986219460238,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-1.558387444947959,0.5528143425100387,0.0,-1.2042048618782608,0.9800124266614997,-0.725797531946272,0.5926098462404121,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-1.4117156854234454,0.5528143425100387,0.0,-1.2042048618782608,1.0557377912457753,-0.725797531946272,-2.8089175223144207,-0.36905065316699553,0.0,1.0,0.0,0.0,0.0
-1.2650439258989314,0.5528143425100387,0.0,-1.2042048618782608,1.1314631558300507,-0.725797531946272,-2.596322061779744,-0.36905065316699553,0.0,1.0,0.0,0.0,0.0
-1.1183721663744177,0.5528143425100387,0.0,-1.5549441420369776,1.2071885204143264,-0.8901290486133524,-0.08060911211939858,-0.36905065316699553,0.0,0.0,1.0,0.0,0.0
-0.9717004068499039,0.5528143425100387,0.0,-1.2042048618782608,0.8285616974929485,-0.8901290486133524,0.521744692728853,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-0.8250286473253902,0.5528143425100387,0.0,-0.15198702140211065,0.22275878081874376,-0.8901290486133524,0.5926098462404121,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-0.6783568878008763,0.5528143425100387,0.0,0.19875225875660607,-0.383044135855461,0.4245230847232909,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-0.5316851282763625,0.5528143425100387,0.0,0.9002308190740395,-0.9888470525296658,0.4245230847232909,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-0.3850133687518487,0.5528143425100387,0.0,1.2509700992327561,-1.4431992400353193,0.4245230847232909,0.521744692728853,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-0.23834160922733494,0.5528143425100387,0.0,1.601709379391473,-1.8975514275409728,1.0161165447247809,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-0.09166984970282113,0.5528143425100387,0.0,1.9524486595501898,-2.2761782504623507,1.0161165447247809,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.055001909821692674,0.5528143425100387,0.0,2.3031879397089066,-2.579079708799453,1.0161165447247809,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.20167366934620648,0.5528143425100387,0.0,1.9524486595501898,-2.5033543442151776,0.5559882980569554,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.3483454288707203,0.5528143425100387,0.0,1.2509700992327561,-1.8218260629566974,0.5559882980569554,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
